hypervectorSize, inputQuant, classVectorQuant, trainIteration, numCorrect
4000, 8, 8, 16, 1429
4000, 8, 8, 17, 1428
4000, 8, 8, 18, 1427
4000, 8, 8, 19, 1429
4000, 8, 8, 20, 1430
4000, 16, 8, 1, 1360
4000, 16, 8, 2, 1416
4000, 16, 8, 3, 1417
4000, 16, 8, 4, 1439
4000, 16, 8, 5, 1443
4000, 16, 8, 6, 1439
4000, 16, 8, 7, 1441
4000, 16, 8, 8, 1440
4000, 16, 8, 9, 1439
4000, 16, 8, 10, 1436
4000, 16, 8, 11, 1438
4000, 16, 8, 12, 1440
4000, 16, 8, 13, 1440
4000, 16, 8, 14, 1438
4000, 16, 8, 15, 1439
4000, 16, 8, 16, 1438
4000, 16, 8, 17, 1437
4000, 16, 8, 18, 1437
4000, 16, 8, 19, 1435
4000, 16, 8, 20, 1435
4000, 32, 8, 1, 1366
4000, 32, 8, 2, 1399
4000, 32, 8, 3, 1405
4000, 32, 8, 4, 1430
4000, 32, 8, 5, 1446
4000, 32, 8, 6, 1448
4000, 32, 8, 7, 1447
4000, 32, 8, 8, 1450
4000, 32, 8, 9, 1451
4000, 32, 8, 10, 1449
4000, 32, 8, 11, 1449
4000, 32, 8, 12, 1448
4000, 32, 8, 13, 1447
4000, 32, 8, 14, 1447
4000, 32, 8, 15, 1448
4000, 32, 8, 16, 1447
4000, 32, 8, 17, 1446
4000, 32, 8, 18, 1448
4000, 32, 8, 19, 1448
4000, 32, 8, 20, 1449
4000, 64, 8, 1, 1370
4000, 64, 8, 2, 1403
4000, 64, 8, 3, 1416
4000, 64, 8, 4, 1436
4000, 64, 8, 5, 1440
4000, 64, 8, 6, 1438
4000, 64, 8, 7, 1439
4000, 64, 8, 8, 1439
4000, 64, 8, 9, 1439
4000, 64, 8, 10, 1439
4000, 64, 8, 11, 1438
4000, 64, 8, 12, 1439
4000, 64, 8, 13, 1438
4000, 64, 8, 14, 1438
4000, 64, 8, 15, 1440
4000, 64, 8, 16, 1439
4000, 64, 8, 17, 1438
4000, 64, 8, 18, 1438
4000, 64, 8, 19, 1438
4000, 64, 8, 20, 1435
6000, 2, 2, 1, 1262
6000, 2, 2, 2, 1240
6000, 2, 2, 3, 1268
6000, 2, 2, 4, 1271
6000, 2, 2, 5, 1228
6000, 2, 2, 6, 1245
6000, 2, 2, 7, 1269
6000, 2, 2, 8, 1313
6000, 2, 2, 9, 1344
6000, 2, 2, 10, 1356
6000, 2, 2, 11, 1354
6000, 2, 2, 12, 1341
6000, 2, 2, 13, 1341
6000, 2, 2, 14, 1331
6000, 2, 2, 15, 1326
6000, 2, 2, 16, 1333
6000, 2, 2, 17, 1347
6000, 2, 2, 18, 1338
6000, 2, 2, 19, 1345
6000, 2, 2, 20, 1333
6000, 4, 2, 1, 1283
6000, 4, 2, 2, 1257
6000, 4, 2, 3, 1259
6000, 4, 2, 4, 1269
6000, 4, 2, 5, 1213
6000, 4, 2, 6, 1236
6000, 4, 2, 7, 1203
6000, 4, 2, 8, 1144
6000, 4, 2, 9, 1169
6000, 4, 2, 10, 1122
6000, 8, 2, 1, 1288
6000, 8, 2, 2, 1266
6000, 8, 2, 3, 1278
6000, 8, 2, 4, 1293
6000, 8, 2, 5, 1287
6000, 8, 2, 6, 1289
6000, 8, 2, 7, 1284
6000, 8, 2, 8, 1285
6000, 8, 2, 9, 1313
6000, 8, 2, 10, 1299
6000, 8, 2, 11, 1317
6000, 8, 2, 12, 1278
6000, 8, 2, 13, 1276
6000, 8, 2, 14, 1298
6000, 8, 2, 15, 1315
6000, 8, 2, 16, 1331
6000, 8, 2, 17, 1324
6000, 8, 2, 18, 1347
6000, 8, 2, 19, 1345
6000, 8, 2, 20, 1331
6000, 16, 2, 1, 1293
6000, 16, 2, 2, 1272
6000, 16, 2, 3, 1273
6000, 16, 2, 4, 1312
6000, 16, 2, 5, 1283
6000, 16, 2, 6, 1289
6000, 16, 2, 7, 1294
6000, 16, 2, 8, 1320
6000, 16, 2, 9, 1325
6000, 16, 2, 10, 1330
6000, 16, 2, 11, 1306
6000, 16, 2, 12, 1272
6000, 16, 2, 13, 1297
6000, 16, 2, 14, 1309
6000, 16, 2, 15, 1336
6000, 16, 2, 16, 1376
6000, 16, 2, 17, 1383
6000, 16, 2, 18, 1386
6000, 16, 2, 19, 1391
6000, 16, 2, 20, 1384
6000, 32, 2, 1, 1302
6000, 32, 2, 2, 1280
6000, 32, 2, 3, 1296
6000, 32, 2, 4, 1309
6000, 32, 2, 5, 1312
6000, 32, 2, 6, 1332
6000, 32, 2, 7, 1325
6000, 32, 2, 8, 1346
6000, 32, 2, 9, 1347
6000, 32, 2, 10, 1335
6000, 32, 2, 11, 1339
6000, 32, 2, 12, 1331
6000, 32, 2, 13, 1332
6000, 32, 2, 14, 1335
6000, 32, 2, 15, 1308
6000, 32, 2, 16, 1312
6000, 32, 2, 17, 1332
6000, 32, 2, 18, 1339
6000, 32, 2, 19, 1311
6000, 32, 2, 20, 1319
6000, 64, 2, 1, 1284
6000, 64, 2, 2, 1266
6000, 64, 2, 3, 1281
6000, 64, 2, 4, 1284
6000, 64, 2, 5, 1253
6000, 64, 2, 6, 1273
6000, 64, 2, 7, 1266
6000, 64, 2, 8, 1315
6000, 64, 2, 9, 1301
6000, 64, 2, 10, 1282
6000, 64, 2, 11, 1304
6000, 64, 2, 12, 1280
6000, 64, 2, 13, 1283
6000, 64, 2, 14, 1275
6000, 64, 2, 15, 1265
6000, 64, 2, 16, 1249
6000, 64, 2, 17, 1286
6000, 64, 2, 18, 1277
6000, 64, 2, 19, 1263
6000, 64, 2, 20, 1278
6000, 2, 4, 1, 1332
6000, 2, 4, 2, 1335
6000, 2, 4, 3, 1327
6000, 2, 4, 4, 1383
6000, 2, 4, 5, 1382
6000, 2, 4, 6, 1381
6000, 2, 4, 7, 1374
6000, 2, 4, 8, 1399
6000, 2, 4, 9, 1407
6000, 2, 4, 10, 1425
6000, 2, 4, 11, 1421
6000, 2, 4, 12, 1427
6000, 2, 4, 13, 1423
6000, 2, 4, 14, 1420
6000, 2, 4, 15, 1426
6000, 2, 4, 16, 1425
6000, 2, 4, 17, 1420
6000, 2, 4, 18, 1428
6000, 2, 4, 19, 1424
6000, 2, 4, 20, 1419
6000, 4, 4, 1, 1345
